filename,transcript
pk_065,Mero group ko presentation today xa.
pk_066,Tyo lecture record garna parxa.
pk_067,Please check the output once.
pk_068,Ma arko video banauchu tes mathi.
pk_069,Sir le code explain garna bhaneko thiyo.
pk_070,Let's complete all modules today.
pk_071,Tyo folder drive ma xa already.
pk_072,Maile chai morning ma padha xu.
pk_073,Please wait for five minutes.
pk_074,Tyo class start vayo ki nai?
pk_075,Maile chai sabai notes revise gare.
pk_076,Tyo seminar ma interesting topic thiyo.
pk_077,Mero bike ko petrol sakiyo.
pk_078,Let's go for a walk in evening.
pk_079,Maile chai assignment hard copy submit gare.
pk_080,Please share your screen.
pk_081,Tyo error ko solution google ma xa.
pk_082,Maile chai ghar ma padhna ramro lagxa.
pk_083,Tyo book ma diagram ramro cha.
pk_084,Let's finalize the project report today.
pk_085,Mero pen khoi bhaneko xa.
pk_086,Maile chai code push gare github ma.
pk_087,Please explain the logic once.
pk_088,Tyo video ma subtitle cha ki nai?
pk_089,Mero roll number 40 ho.
pk_090,Tyo photo clear cha.
pk_091,Please reply to my email soon.
pk_092,Maile chai sabai task complete gare.
pk_093,Tyo video upload garna time lagxa.
pk_094,Mero laptop ko charger harayo.
pk_095,Let's plan for tomorrow's class.
pk_096,Maile chai form fill gare already.
pk_097,Tyo code snippet send gardinu.
pk_098,Please update the document today.
pk_099,Maile chai output check gare already.
pk_100,Tyo function debug garna parxa.
pk_101,Maile chai breakfast nagareko.
pk_102,Tyo app update garna parxa.
pk_103,Let's complete this topic today.
pk_104,Mero internet connection unstable xa.
pk_105,Please send me the notes after class.
pk_106,Tyo meeting kati baje start hunxa?
pk_107,Maile chai kal dekhi padna thale.
pk_108,Sir le assignment ko deadline extend garnu bhayo.
pk_109,Tyo code output expected jasto xaina.
pk_110,Please switch on your camera during viva.
pk_111,Maile chai course complete gare half.
pk_112,Tyo task allocate garna parxa sabai ma.
pk_113,Mero phone ma tyo app install xa.
pk_114,Let's do group study tomorrow.
pk_115,Maile chai tyo diagram draw gare class ma.
pk_116,Please submit the form before deadline.
pk_117,Mero bike service garna parxa.
pk_118,Tyo module bhaneko dherai important xa.
pk_119,Maile chai kal dekhi early uthna thale.
pk_120,Let's discuss this topic after lunch.
pk_121,Ma ghar pugna laai taxi liyera aako.
pk_122,Please mute yourself during meeting.
pk_123,Maile chai tyo topic revise gareko xu.
pk_124,Tyo website load huna time lagxa.
pk_125,Let's finish editing the video today.
ab_126,Mero assignment file corrupt vayo.
ab_127,Tyo lecture record garna bhayo sir le.
ab_128,Please send the zoom link.
ab_129,Maile chai hijo padhna time paayena.
ab_130,Tyo image ko resolution low xa.
ab_131,Let's go for group lunch today.
ab_132,Ma ghar pugna alik late vayo.
ab_133,Please reply to my message soon.
ab_134,Tyo code logic bujhna time lagxa.
ab_135,Maile chai arko example try gare.
ab_136,Tyo file ma error xa re.
ab_137,Mero laptop slow vairaixa aaja.
ab_138,Let's discuss project plan tomorrow.
ab_139,Maile chai video edit gardai xu.
ab_140,Please save the document frequently.
ab_141,Tyo teacher ko explanation clear cha.
ab_142,Maile chai tyo question solve gare.
ab_143,Tyo folder drive ma upload gardinu.
ab_144,Let's start coding session now.
ab_145,Maile chai tyo mail send gare.
ab_146,Please share the google form link.
ab_147,Mero practical test kal cha.
ab_148,Tyo function call garna birse.
ab_149,Maile chai code debug gardai xu.
ab_150,Let's attend tomorrow's workshop.
ab_151,Mero room ma wifi problem xa.
ab_152,Tyo photo upload gardaina timely.
ab_153,Please send your assignment today.
ab_154,Maile chai tyo topic already padheko xu.
ab_155,Tyo diagram explain gardinu na.
ab_156,Let's go for tea break.
ab_157,Maile chai file rename gare already.
ab_158,Please add me to the group.
ab_159,Mero code output correct xa.
ab_160,Tyo app update available cha.
ab_161,Maile chai question solve gare half.
ab_162,Let's meet at library tomorrow.
ab_163,Mero presentation bholi cha?
ab_164,Please check your WhatsApp.
ab_165,Tyo document finalize garna parxa.
ab_166,Maile chai arko function try gare.
ab_167,Tyo teacher ko lecture interesting xa.
ab_168,Please bring your charger tomorrow.
ab_169,Mero laptop ma VS Code xa installed.
ab_170,Let's practice more coding today.
ab_171,Maile chai tyo repo clone gareko xu.
ab_172,Please turn off your mic.
ab_173,Tyo table clean garera rakhnu.
ab_174,Ma ghar pugna alik time lagxa.
ab_175,Let's finish editing by tonight.
ab_176,Mero practical marks upload vayo ki nai?
ab_177,Please check the spelling once.
ab_178,Tyo class join garna birse maile.
ab_179,Maile chai tyo question google gare.
ab_180,Tyo diagram alik ramro banauna parxa.
ab_181,Let's submit assignment before lunch.
ab_182,Mero pen khoi bhaneko xu.
ab_183,Please unmute yourself to speak.
ab_184,Tyo video ko quality ramro cha.
ab_185,Maile chai hijo tyo task gareko xu.
ab_186,Tyo teacher ko handwriting ramro xa.
ab_187,Please fill the feedback form.
ab_188,Mero assignment submit vayo already.
ab_189,Tyo app install garna thap permission maage.
ab_190,Let's fix the bug today.
ab_191,Maile chai tyo class record gare.
ab_192,Please clean your desktop.
ab_193,Tyo meeting cancel vayo re.
ab_194,Ma ghar pugna laai bus liyera aaye.
ab_195,Let's create new repository today.
ab_196,Mero internet bill unpaid xa.
ab_197,Please use headset during meeting.
ab_198,Tyo code re-run garera check gara.
ab_199,Maile chai output verify gare.
ab_200,Let's have group discussion.
ab_201,Mero presentation file ready cha.
ab_202,Please join the meeting soon.
ab_203,Tyo function parameter galat cha.
ab_204,Maile chai video upload gare youtube ma.
ab_205,Tyo teacher ko subject dherai interesting xa.
ab_206,Let's finalize report today.
ab_207,Maile chai python install gare.
ab_208,Please share the ppt slides.
ab_209,Tyo question ko answer easy xa.
ab_210,Maile chai tyo diagram draw gare class ma.
ab_211,Tyo video edit garna alik time lagxa.
ab_212,Please send me the final draft.
ab_213,Mero laptop charge khattam xa.
ab_214,Let's revise this topic now.
ab_215,Maile chai question bank download gare.
ab_216,Tyo image blur xa re.
ab_217,Please share your notes.
ab_218,Mero exam bholi cha?
ab_219,Tyo class record vayo ki nai?
ab_220,Maile chai assignment submit gare hijo.
ab_221,Let's deploy project today.
ab_222,Mero pen drive ghar ma xa.
ab_223,Please create a backup file.
ab_224,Tyo topic readymade solution ma nai xa.
ab_225,Maile chai youtube video herera padhe.
ab_226,Mero assignment deadline bholi ho.
ab_227,Please turn on your camera.
ab_228,Tyo teacher le example dherai ramro diye.
ab_229,Maile chai code compile gareko xu.
ab_230,Tyo app use garna easy lagyo.
ab_231,Let's discuss this in next meeting.
ab_232,Mero phone ko storage almost full xa.
ab_233,Please upload the report by today.
ab_234,Tyo error ko solution khojdai xu.
ab_235,Maile chai project complete gare half.
ab_236,Tyo lecture sunera dherai bujhiyo.
ab_237,Please share your screen for demo.
ab_238,Mero net connection kati slow xa.
ab_239,Let's prepare slides today itself.
ab_240,Maile chai kal tyo video edit gare.
ab_241,Tyo question explain gardinu na sir lai.
ab_242,Please submit the document before evening.
ab_243,Mero practical preparation ali kamjor xa.
ab_244,Tyo code run hunna re.
ab_245,Maile chai assignment print gareko xu.
ab_246,Let's start recording the video today.
ab_247,Mero laptop charger ghar ma birse.
ab_248,Please give me your pen for a while.
ab_249,Tyo seminar join garna mandatory xa.
ab_250,Maile chai tyo bug fix gare finally.
bp_251,Mero internet recharge garnu parxa.
bp_252,Please attach the file in email.
bp_253,Tyo lecture note clear cha.
bp_254,Maile chai tyo mail reply gareko xu.
bp_255,Tyo error troubleshoot garna parxa.
bp_256,Let's start our group project soon.
bp_257,Mero assignment ko plagiarism high xa.
bp_258,Please ask sir once about this.
bp_259,Tyo app ko update available xa.
bp_260,Maile chai kal tyo class attend gare.
bp_261,Tyo function use garna easy xa.
bp_262,Please send the attendance link.
bp_263,Mero video upload huna time lagxa.
bp_264,Let's create the database schema today.
bp_265,Maile chai code commit gare github ma.
bp_266,Tyo teacher le concept ramro sanga bujhaune hunxa.
bp_267,Please wait for your turn.
bp_268,Mero bike ko servicing date aayo.
bp_269,Tyo topic revise garna parxa.
bp_270,Maile chai form fill gare already.
bp_271,Tyo image crop garera pathaunu.
bp_272,Please rename the folder properly.
bp_273,Mero presentation bholi submit garna parxa.
bp_274,Let's divide the work equally.
bp_275,Maile chai tyo software install gare.
bp_276,Mero net off vayo.
bp_277,Please check the grammar once.
bp_278,Tyo video upload gardai xu ma.
bp_279,Maile chai tyo project idea finalize gare.
bp_280,Tyo teacher ko pronunciation clear xa.
bp_281,Let's prepare for upcoming test.
bp_282,Mero laptop ko battery khattam vayo.
bp_283,Please delete the old files.
bp_284,Tyo code logic alik tricky xa.
bp_285,Maile chai tyo topic padheko xu last week.
bp_286,Tyo function output expected jasto xa.
bp_287,Please finish the task by evening.
bp_288,Mero phone charge cha ki nai?
bp_289,Let's review each other's code today.
bp_290,Maile chai tyo message read gareko xu.
bp_291,Tyo question answer garna time lagxa.
bp_292,Please arrange the files properly.
bp_293,Mero internet slow vairaixa continuously.
bp_294,Tyo teacher le bholi test linu hunxa.
bp_295,Maile chai assignment finalize gare.
bp_296,Let's check the git status.
bp_297,Mero laptop ma VS Code update aayo.
bp_298,Please create the presentation slides.
bp_299,Tyo diagram explain gardinu na sir lai.
bp_300,Maile chai kal group meeting join gare.
bp_301,Mero assignment feedback aaena.
bp_302,Please mute yourself after speaking.
bp_303,Tyo video ko audio clear cha.
bp_304,Maile chai code refactor gare.
bp_305,Tyo teacher le note upload garnu bhayo.
bp_306,Let's plan for upcoming hackathon.
bp_307,Mero phone ko speaker problem xa.
bp_308,Please recheck the calculation.
bp_309,Tyo image resolution kam xa.
bp_310,Maile chai tyo topic revise gare.
bp_311,Tyo question easy xa for me.
bp_312,Please connect your device to wifi.
bp_313,Mero laptop ma storage kam xa.
bp_314,Let's discuss this after lunch break.
bp_315,Maile chai hijo practical test diyo.
bp_316,Tyo teacher ko teaching method different xa.
bp_317,Please logout from the system.
bp_318,Mero assignment ko marks aayo.
bp_319,Tyo code compile garna error xa.
bp_320,Maile chai tyo file delete gare.
bp_321,Let's create the database tables.
bp_322,Mero pen harayo.
bp_323,Please share the meeting recording.
bp_324,Tyo class cancel vayo re.
bp_325,Maile chai tyo diagram label gare.
bp_326,Mero phone password bhule.
bp_327,Please check the formatting.
bp_328,Tyo question ko solution send gardinu.
bp_329,Maile chai tyo file upload gare drive ma.
bp_330,Tyo teacher le example diye dherai.
bp_331,Let's prepare for viva tomorrow.
bp_332,Mero net recharge nagareko.
bp_333,Please restart your laptop once.
bp_334,Tyo function call alik complicated xa.
bp_335,Maile chai tyo video share gare group ma.
bp_336,Tyo topic dherai important xa.
bp_337,Please clear your doubts today.
bp_338,Mero laptop charger khoi bhaneko xa.
bp_339,Let's practice coding tonight.
bp_340,Maile chai github ma push gare.
bp_341,Tyo project deployment kal garna parxa.
bp_342,Please install the required packages.
bp_343,Mero presentation topic finalize vayo.
bp_344,Tyo teacher le bholi class linu hunna re.
bp_345,Maile chai tyo question solve gare quickly.
bp_346,Let's complete the notes today.
bp_347,Mero phone battery low xa.
bp_348,Please check your gmail.
bp_349,Tyo diagram draw garna parxa sir le bhaneko.
bp_350,Maile chai tyo code run gare successfully.
bp_351,Mero assignment marks upload vayo.
bp_352,Please rename the file properly.
bp_353,Tyo lecture ko note share gardinu.
bp_354,Maile chai tyo software update gare.
bp_355,Tyo teacher ko class interesting xa.
bp_356,Let's finalize the team today.
bp_357,Mero internet package expire vayo.
bp_358,Please send your phone number.
bp_359,Tyo code output wrong aayo.
bp_360,Maile chai tyo topic clear gare.
bp_361,Tyo function use garera check gara.
bp_362,Please join the class on time.
bp_363,Mero laptop ko screen flicker vairaixa.
bp_364,Let's meet after college today.
bp_365,Maile chai tyo mail forward gare.
bp_366,Tyo image ko clarity ramro xa.
bp_367,Please keep your mic muted.
bp_368,Mero assignment pending xa.
bp_369,Tyo teacher le bholi extra class rakhnu hunxa.
bp_370,Maile chai tyo file compress gare.
bp_371,Let's update the github repo today.
bp_372,Mero phone ko display damage vayo.
bp_373,Please follow the instructions.
bp_374,Tyo diagram color garna parxa.
bp_375,Maile chai tyo error solve gare.
st_376,Mero internet connection fine xa ajhai.
st_377,Please clean the desktop icons.
st_378,Tyo video edit gardai xu maile.
st_379,Maile chai assignment upload gare.
st_380,Tyo teacher le feedback diyera ramro lagyo.
st_381,Let's join class early tomorrow.
st_382,Mero bike ko tyre puncture vayo.
st_383,Please attend the seminar tomorrow.
st_384,Tyo code snippet explain gardinu.
st_385,Maile chai tyo note revise gare.
st_386,Tyo topic test ma aauxa re.
st_387,Please login to your account.
st_388,Mero phone ko camera damaged xa.
st_389,Let's complete the work today itself.
st_390,Maile chai github repo clone gare.
st_391,Tyo teacher le question bank pathaunu bhayo.
st_392,Please fill the attendance form.
st_393,Mero laptop ko RAM upgrade garnu parxa.
st_394,Tyo app ko interface user friendly xa.
st_395,Maile chai tyo topic revise gare yesterday.
st_396,Let's start practical from today.
st_397,Mero phone repair ma cha ahile.
st_398,Please print the document.
st_399,Tyo diagram explain garna sir le bhaneko.
st_400,Maile chai tyo output verify gare.
st_401,Mero net connection thik cha ajhai.
st_402,Please join the google meet.
st_403,Tyo code execution time lagxa.
st_404,Maile chai tyo project deploy gare.
st_405,Tyo teacher ko lecture record vayo.
st_406,Let's finalize documentation today.
st_407,Mero phone ko mic kam gariraixa.
st_408,Please send the invoice copy.
st_409,Tyo diagram ma label halna bhulecha.
st_410,Maile chai tyo presentation prepare gare.
st_411,Tyo question ko solution easy xa.
st_412,Please finish the notes today.
st_413,Mero assignment due date bholi ho.
st_414,Let's practice viva questions.
st_415,Maile chai tyo mail draft gare.
st_416,Tyo topic aaja padhna parxa.
st_417,Please shutdown your PC properly.
st_418,Mero phone ko cover harayo.
st_419,Tyo teacher le code explain garnu bhayo.
st_420,Maile chai tyo code optimize gare.
st_421,Let's check the github issues.
st_422,Mero presentation kal submit garna parxa.
st_423,Please arrange the chairs properly.
st_424,Tyo file rename garna parxa.
st_425,Maile chai tyo task assign gare.
st_426,Mero internet off vayo bihanai.
st_427,Please restart the system.
st_428,Tyo diagram ko scale milena.
st_429,Maile chai tyo video record gare.
st_430,Tyo teacher le feedback diye ramro cha.
st_431,Let's finish this code today.
st_432,Mero bike ko key khoi bhaneko xu.
st_433,Please join the zoom meeting.
st_434,Tyo code ma syntax error xa re.
st_435,Maile chai tyo file download gare.
st_436,Tyo topic dherai important xa.
st_437,Please mute your mic during call.
st_438,Mero laptop ko fan awaj gariraixa.
st_439,Let's finalize the budget today.
st_440,Maile chai tyo pdf upload gare.
st_441,Tyo question ko answer prepare garnu.
st_442,Please check the file size.
st_443,Mero phone ko display damage vayo.
st_444,Tyo teacher le example diye ramro.
st_445,Maile chai tyo app uninstall gare.
st_446,Let's update the report today.
st_447,Mero assignment file missing xa.
st_448,Please send your roll number.
st_449,Tyo diagram ma color halna parxa.
st_450,Maile chai tyo program run gare.
st_451,Mero internet connection problem xa.
st_452,Please submit your assignment soon.
st_453,Tyo class kal cancel vayo re.
st_454,Maile chai tyo note upload gare drive ma.
st_455,Tyo teacher ko class recording cha.
st_456,Let's start the new module today.
st_457,Mero phone charger khoi bhaneko xu.
st_458,Please mute yourself before entering.
st_459,Tyo diagram ma scale wrong cha.
st_460,Maile chai tyo file rename gare.
st_461,Tyo question ko solution explain gardinu.
st_462,Please check your spam folder.
st_463,Mero presentation marks aayo.
st_464,Let's finish this chapter today.
st_465,Maile chai tyo repo push gare.
st_466,Tyo app update nagareko xu maile.
st_467,Please clean your downloads folder.
st_468,Mero bike service ma cha.
st_469,Tyo teacher le homework pathaunu bhayo.
st_470,Maile chai tyo bug fix gare.
st_471,Let's start project report today.
st_472,Mero phone password change gareko xu.
st_473,Please upload your photo.
st_474,Tyo diagram draw garna alik garo lagyo.
st_475,Maile chai tyo error solve gare finally.
st_476,Mero net recharge garnai parxa aaja.
st_477,Please join the class early tomorrow.
st_478,Tyo teacher le attendance linu bhayo.
st_479,Maile chai tyo topic revise gare kal.
st_480,Tyo question answer garnai parxa.
st_481,Let's plan for tomorrow's presentation.
st_482,Mero laptop ko keyboard kam gariraixa.
st_483,Please delete the duplicate files.
st_484,Tyo app update garna bhule.
st_485,Maile chai tyo diagram banaune try gare.
st_486,Tyo teacher le extra class rakhnu bhayo.
st_487,Please submit your practical file.
st_488,Mero assignment ko plagiarism check garnu parxa.
st_489,Let's finish the presentation today itself.
st_490,Maile chai tyo video upload gare youtube ma.
st_491,Tyo question ko explanation ramro xa.
st_492,Please logout from your gmail.
st_493,Mero phone ko battery fast discharge vairaixa.
st_494,Tyo teacher le topic ramro explain garnu bhayo.
st_495,Maile chai tyo form fill gare already.
st_496,Let's complete coding practice today.
st_497,Mero bike ko brake problem xa.
st_498,Please create new folder for this.
st_499,Tyo diagram check garna sir le bhaneko.
st_500,Maile chai tyo output verify gare finally.
