filename,actual,predicted
ab_176.wav,Mero practical marks upload vayo ki nai?,Meerobu practik雨蛆 Hope you are able to person with white wings.
ab_177.wav,Please check the spelling once.,Please check the spelling once.
ab_178.wav,Tyo class join garna birse maile.,"Tu- Wheel, Joint Excuserenchedب Вз"
ab_179.wav,Maile chai tyo question google gare.,oile chahi to question google gare
ab_180.wav,Tyo diagram alik ramro banauna parxa.,"यह पर रं स tuo, यह चि करे वम व मेर के चo"
ab_181.wav,Let's submit assignment before lunch.,Let's meet assignment before lunch
ab_182.wav,Mero pen khoi bhaneko xu.,Mail face� &
ab_183.wav,Please unmute yourself to speak.,Please unmute yourself to speak.
ab_184.wav,Tyo video ko quality ramro cha.,recre중ief
ab_185.wav,Maile chai hijo tyo task gareko xu.,maile chahi hiz 안녕하세요
ab_186.wav,Tyo teacher ko handwriting ramro xa.,Yoo Episode 4 Transformation
ab_187.wav,Please fill the feedback form.,Please feel the feedback form.
ab_188.wav,Mero assignment submit vayo already.,"Meero, assignment, summit, boio already."
ab_189.wav,Tyo app install garna thap permission maage.,pyo app install Mark aih
ab_190.wav,Let's fix the bug today.,Let's fix the bug today.
ab_191.wav,Maile chai tyo class record gare.,1. Merc்.
ab_192.wav,Please clean your desktop.,Please clean your desktop
ab_193.wav,Tyo meeting cancel vayo re.,"Dho, meeting, cancel, hoi re."
ab_194.wav,Ma ghar pugna laai bus liyera aaye.,Mobho ruppugnalay Boss leera ayenn
ab_195.wav,Let's create new repository today.,Let's create new repository today.
ab_196.wav,Mero internet bill unpaid xa.,menu internet bill on hate tall
ab_197.wav,Please use headset during meeting.,Please use headset during meeting.
ab_198.wav,Tyo code re-run garera check gara.,shyoch item
ab_199.wav,Maile chai output verify gare.,Moiletahi Output Verify Kore
ab_200.wav,Let's have group discussion.,Let's have group discussion.
ab_201.wav,Mero presentation file ready cha.,Mero Presentation File Ready To
ab_202.wav,Please join the meeting soon.,Please join the meeting soon.
ab_203.wav,Tyo function parameter galat cha.,stretched
ab_204.wav,Maile chai video upload gare youtube ma.,i like this video upload
ab_205.wav,Tyo teacher ko subject dherai interesting xa.,"Thio teacher post object, very interesting talk."
ab_206.wav,Let's finalize report today.,Let's finalize report today.
ab_207.wav,Maile chai python install gare.,boy lead girl 8 boy lead beauty
ab_208.wav,Please share the ppt slides.,Please share the BPD slides.
ab_209.wav,Tyo question ko answer easy xa.,201m2
ab_210.wav,Maile chai tyo diagram draw gare class ma.,"Moili Chahi, Tuddhaigra, Jhokori, Klasmat"
ab_211.wav,Tyo video edit garna alik time lagxa.,hbb ^^ Edit corneradi time
ab_212.wav,Please send me the final draft.,Please send me the final draft.
ab_213.wav,Mero laptop charge khattam xa.,Е luôn Apped up jars quadsam kelar
ab_214.wav,Let's revise this topic now.,Let's revise this topic now.
ab_215.wav,Maile chai question bank download gare.,"moile chahi, question bank download kare"
ab_216.wav,Tyo image blur xa re.,Dion image blur dares
ab_217.wav,Please share your notes.,Please share your notes.
ab_218.wav,Mero exam bholi cha?,här we don't examine putiksuru
ab_219.wav,Tyo class record vayo ki nai?,тру class Reid
ab_220.wav,Maile chai assignment submit gare hijo.,mandate xahai assignments Sombit kare hiju
ab_221.wav,Let's deploy project today.,Let's deploy project today.
ab_222.wav,Mero pen drive ghar ma xa.,"bero, ben, drive coat mat ta"
ab_223.wav,Please create a backup file.,Please create or backup pine
ab_224.wav,Tyo topic readymade solution ma nai xa.,
ab_225.wav,Maile chai youtube video herera padhe.,maili nhahi youtube video heret rapweh
ab_226.wav,Mero assignment deadline bholi ho.,Mero Assignment Deadline Bully Ho
ab_227.wav,Please turn on your camera.,Please turn on your camera.
ab_228.wav,Tyo teacher le example dherai ramro diye.,Do Teacher le disappoldere Lamrwood Da
ab_229.wav,Maile chai code compile gareko xu.,infantry
ab_230.wav,Tyo app use garna easy lagyo.,TU AP Use Coor Not Easy Lying
ab_231.wav,Let's discuss this in next meeting.,Let's discuss this in next morning.
ab_232.wav,Mero phone ko storage almost full xa.,MIRO FO Dragented Person Power
ab_233.wav,Please upload the report by today.,Please upload the report by today.
ab_234.wav,Tyo error ko solution khojdai xu.,12 noon the Quran
ab_235.wav,Maile chai project complete gare half.,bl hak
ab_236.wav,Tyo lecture sunera dherai bujhiyo.,ridicule macamич
ab_237.wav,Please share your screen for demo.,Please share your screen for demo
ab_238.wav,Mero net connection kati slow xa.,Bero visiblemiye konneیکxayatim
ab_239.wav,Let's prepare slides today itself.,Let's prepare slides today itself.
ab_240.wav,Maile chai kal tyo video edit gare.,Moile-chahi-izu-tube video edit korei
ab_241.wav,Tyo question explain gardinu na sir lai.,cile prochainefold Forget Because my
ab_242.wav,Please submit the document before evening.,Please submit the document before evening.
ab_243.wav,Mero practical preparation ali kamjor xa.,Meero Practical Reporation & Reconjures
ab_244.wav,Tyo code run hunna re.,dio kord run vune rein
ab_245.wav,Maile chai assignment print gareko xu.,tui gotko spoon hu
ab_246.wav,Let's start recording the video today.,Let's start recording the video today.
ab_247.wav,Mero laptop charger ghar ma birse.,mero laptop charger karma pc
ab_248.wav,Please give me your pen for a while.,Please give me your bin for a while.
ab_249.wav,Tyo seminar join garna mandatory xa.,After dyseman used loin starter
ab_250.wav,Maile chai tyo bug fix gare finally.,understanding coloring
bp_251.wav,Mero internet recharge garnu parxa.,Many Internet Reduction
bp_252.wav,Please attach the file in email.,Please attach to file in email.
bp_253.wav,Tyo lecture note clear cha.,NBA
bp_254.wav,Maile chai tyo mail reply gareko xu.,Tamala tree
bp_255.wav,Tyo error troubleshoot garna parxa.,시몭隻 comics
bp_256.wav,Let's start our group project soon.,Let's start our group project soon.
bp_257.wav,Mero assignment ko plagiarism high xa.,Naabo ra ba ko ba drop end
bp_258.wav,Please ask sir once about this.,Please ask Sir once about this.
bp_259.wav,Tyo app ko update available xa.,دیا'.App Google Update and run hold
bp_260.wav,Maile chai kal tyo class attend gare.,Joshi
bp_261.wav,Tyo function use garna easy xa.,Dual function useileenCorn art easy talk
bp_262.wav,Please send the attendance link.,Please send the attendance link.
bp_263.wav,Mero video upload huna time lagxa.,May the video uploads from my time lactzo
bp_264.wav,Let's create the database schema today.,Let's create the database scheme today.
bp_265.wav,Maile chai code commit gare github ma.,Mbailet chai code commit to grow in GeetHub
bp_266.wav,Tyo teacher le concept ramro sanga bujhaune hunxa.,Teo teacher le concept Ramro sangabu zaunu hun sa
bp_267.wav,Please wait for your turn.,Please wait for your turn.
bp_268.wav,Mero bike ko servicing date aayo.,Meiro Bike Co-Servicing Date I.O.
bp_269.wav,Tyo topic revise garna parxa.,tokens
bp_270.wav,Maile chai form fill gare already.,"Maile chai, korm, fidu, kare, alreide"
bp_271.wav,Tyo image crop garera pathaunu.,tu amidst
bp_272.wav,Please rename the folder properly.,Please rename the folder properly.
bp_273.wav,Mero presentation bholi submit garna parxa.,Karuna Bersanti
bp_274.wav,Let's divide the work equally.,Let's divide the work equally
bp_275.wav,Maile chai tyo software install gare.,Moy Le Cahi tu softwere instart gothi
bp_276.wav,Mero net off vayo.,Maho<|en|>
bp_277.wav,Please check the grammar once.,Please check to grammar once.
bp_278.wav,Tyo video upload gardai xu ma.,''T Taiji'' video upload garden sumah
bp_279.wav,Maile chai tyo project idea finalize gare.,Wally boitá pamongthrough project idea finalizeconay
bp_280.wav,Tyo teacher ko pronunciation clear xa.,Dhudrij gh fire eagle
bp_281.wav,Let's prepare for upcoming test.,Let's prepare for upcoming test.
bp_282.wav,Mero laptop ko battery khattam vayo.,mirulab tk
bp_283.wav,Please delete the old files.,Please delete the old files
bp_284.wav,Tyo code logic alik tricky xa.,representing Deou ép Until lawmakers rule so who too don't
bp_285.wav,Maile chai tyo topic padheko xu last week.,inet sabas
bp_286.wav,Tyo function output expected jasto xa.,Your function output expected just to top.
bp_287.wav,Please finish the task by evening.,Please finish the task by evening.
bp_288.wav,Mero phone charge cha ki nai?,Kathy Neyn Kelly Kelly
bp_289.wav,Let's review each other's code today.,Let's review each other's code today.
bp_290.wav,Maile chai tyo message read gareko xu.,"Moele Tain, credential for your message I'm driving"
bp_291.wav,Tyo question answer garna time lagxa.,Do you question answer is a Korean language?
bp_292.wav,Please arrange the files properly.,Please add in the files properly
bp_293.wav,Mero internet slow vairaixa continuously.,Behru internet slow bhoi dadoso kon tinti Matli
bp_294.wav,Tyo teacher le bholi test linu hunxa.,absolutely entertaining
bp_295.wav,Maile chai assignment finalize gare.,Moili Chai Assignment Finalize Curry
bp_296.wav,Let's check the git status.,Let's check the git status.
bp_297.wav,Mero laptop ma VS Code update aayo.,Meru Laptop Map VS Code Update I.O
bp_298.wav,Please create the presentation slides.,Please create the presentation slides.
bp_299.wav,Tyo diagram explain gardinu na sir lai.,"Diode-i CRAM explain Cortino Notes, or Line"
bp_300.wav,Maile chai kal group meeting join gare.,moiliertyae iza k g05
bp_301.wav,Mero assignment feedback aaena.,Meido Assignment Feedback I Know
bp_302.wav,Please mute yourself after speaking.,Please mute yourself after speaking.
bp_303.wav,Tyo video ko audio clear cha.,ADDO VCIO
bp_304.wav,Maile chai code refactor gare.,Ak leider ça ip
bp_305.wav,Tyo teacher le note upload garnu bhayo.,supre трیو تیچ or a traced was
bp_306.wav,Let's plan for upcoming hackathon.,Let's plan for upcoming Hacking 1.
bp_307.wav,Mero phone ko speaker problem xa.,mito phoon kwa spe ark philosophy
bp_308.wav,Please recheck the calculation.,Please reject the calculation.
bp_309.wav,Tyo image resolution kam xa.,1-
bp_310.wav,Maile chai tyo topic revise gare.,jai jhu taufik revise gri
bp_311.wav,Tyo question easy xa for me.,Do you question easy to all for me?
bp_312.wav,Please connect your device to wifi.,Please connect your device to Wi-Fi.
bp_313.wav,Mero laptop ma storage kam xa.,Meroi leptummá stoudit worsomzo
bp_314.wav,Let's discuss this after lunch break.,Let's discuss this after launch pre.
bp_315.wav,Maile chai hijo practical test diyo.,"Mawiliya Chai, Hizo Practical Test Diyo"
bp_316.wav,Tyo teacher ko teaching method different xa.,Dho teacher code teaching method different home
bp_317.wav,Please logout from the system.,",""Please log out from the system."""
bp_318.wav,Mero assignment ko marks aayo.,Meiro assignment Kind do Abhised
bp_319.wav,Tyo code compile garna error xa.,Duke Ford Company Sa scales quickly
bp_320.wav,Maile chai tyo file delete gare.,mule chai tu file delete kore
bp_321.wav,Let's create the database tables.,Let's create the database tables
bp_322.wav,Mero pen harayo.,Miru Pin Hara Yuh
bp_323.wav,Please share the meeting recording.,Please share the meeting recording.
bp_324.wav,Tyo class cancel vayo re.,Dieö  constrainsent Hawali† amet circumstances de la mmo Al мо d eight le ni
bp_325.wav,Maile chai tyo diagram label gare.,boyle jaik tu tai bra li wil communism
bp_326.wav,Mero phone password bhule.,Mero Pic entertainment
bp_327.wav,Please check the formatting.,Please check the formatting.
bp_328.wav,Tyo question ko solution send gardinu.,ints
bp_329.wav,Maile chai tyo file upload gare drive ma.,Moi Le Tea independence
bp_330.wav,Tyo teacher le example diye dherai.,tiyo teacher le example diya diya diya diya
bp_331.wav,Let's prepare for viva tomorrow.,its prepared for viva tomorrow
bp_332.wav,Mero net recharge nagareko.,Meero Nate Recharge Nagariku
bp_333.wav,Please restart your laptop once.,Please restart your laptop once.
bp_334.wav,Tyo function call alik complicated xa.,標反 wrote
bp_335.wav,Maile chai tyo video share gare group ma.,Mpiej lle chahi teobitio shyer gore' legend maam
bp_336.wav,Tyo topic dherai important xa.,Dyo Topic Theory Importance Hall
bp_337.wav,Please clear your doubts today.,Please clear your doubts today.
bp_338.wav,Mero laptop charger khoi bhaneko xa.,b瞒за افتص): Qur'a<|haw|><|ar|>
bp_339.wav,Let's practice coding tonight.,let's practice coding tonight
bp_340.wav,Maile chai github ma push gare.,分ili..anti .. challeng c Thaag d Take Up
bp_341.wav,Tyo project deployment kal garna parxa.,T brid INF
bp_342.wav,Please install the required packages.,Please install the required packages.
bp_343.wav,Mero presentation topic finalize vayo.,NIHAN MObie
bp_344.wav,Tyo teacher le bholi class linu hunna re.,"Jiho,ः। भुली बिध वस्सागनभ।"
bp_345.wav,Maile chai tyo question solve gare quickly.,Tsawaji
bp_346.wav,Let's complete the notes today.,Let's complete the notes today.
bp_347.wav,Mero phone battery low xa.,Ten yes
bp_348.wav,Please check your gmail.,Please check your Gmail
bp_349.wav,Tyo diagram draw garna parxa sir le bhaneko.,du diagram du dou douministre sol les vanicou
bp_350.wav,Maile chai tyo code run gare successfully.,Schools should always be preferred through a code 1. Successfully.
bp_351.wav,Mero assignment marks upload vayo.,Mero Assignment Marks upload bio
bp_352.wav,Please rename the file properly.,Please rename the file properly.
bp_353.wav,Tyo lecture ko note share gardinu.,mashed tear goat san godi nu
bp_354.wav,Maile chai tyo software update gare.,"""...My lead chahi chocolate Sanctuary Optaeed RNA"","
bp_355.wav,Tyo teacher ko class interesting xa.,Beautiful. Interested.
bp_356.wav,Let's finalize the team today.,Let's finalize the team today.
bp_357.wav,Mero internet package expire vayo.,Migro International смысLZ 100 wrestling
bp_358.wav,Please send your phone number.,Please send your phone number.
bp_359.wav,Tyo code output wrong aayo.,You court output from Aryu
bp_360.wav,Maile chai tyo topic clear gare.,Meile Chaahi 좋은 NPC Clear Ware
bp_361.wav,Tyo function use garera check gara.,jau行shun use kaurera ke kora
bp_362.wav,Please join the class on time.,Please join the class on time.
bp_363.wav,Mero laptop ko screen flicker vairaixa.,manno laptop slice got scRe
bp_364.wav,Let's meet after college today.,Let's meet after college today.
bp_365.wav,Maile chai tyo mail forward gare.,"miale, caimdi, tu, mail for what kare"
bp_366.wav,Tyo image ko clarity ramro xa.,uncleimironicity Leblisi
bp_367.wav,Please keep your mic muted.,Please keep your mic you did.
bp_368.wav,Mero assignment pending xa.,Meero assignment bending top
bp_369.wav,Tyo teacher le bholi extra class rakhnu hunxa.,f s
bp_370.wav,Maile chai tyo file compress gare.,dhu attrahe vihu
bp_371.wav,Let's update the github repo today.,Let's update the GitHub repo today.
bp_372.wav,Mero phone ko display damage vayo.,"Mirror phone, GOOD Display Damage Bio"
bp_373.wav,Please follow the instructions.,Please follow the instructions.
bp_374.wav,Tyo diagram color garna parxa.,tjiy郎ņa ражor wagon gorge bornāidoresau
bp_375.wav,Maile chai tyo error solve gare.,Mahili chaayi to error. Song��
st_376.wav,Mero internet connection fine xa ajhai.,cndpnd fixing
st_377.wav,Please clean the desktop icons.,Please gain the desktop icons.
st_378.wav,Tyo video edit gardai xu maile.,ھو بیڈیو ایڈڈ گردشوں میں لے
st_379.wav,Maile chai assignment upload gare.,Tsaiの Let's goai Ok
st_380.wav,Tyo teacher le feedback diyera ramro lagyo.,ھو ٹیٹھر لی فیڈ بیک دیرہ رامرو لگیو
st_381.wav,Let's join class early tomorrow.,Let's join class early tomorrow.
st_382.wav,Mero bike ko tyre puncture vayo.,mero bhai ko tore ponjall vayau
st_383.wav,Please attend the seminar tomorrow.,تlax longoczęyour couble  Swiss
st_384.wav,Tyo code snippet explain gardinu.,Kaowejat Da dés
st_385.wav,Maile chai tyo note revise gare.,画یلدتbrance Ng
st_386.wav,Tyo topic test ma aauxa re.,Riya deo dropik test yoga uth rule
st_387.wav,Please login to your account.,Please log in to your account.
